AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR,Red
10.11,0.14,1.03,-0.07,0.02,-0.01,124582,29284
10.09,0.11,1.07,-0.05,0.02,-0.01,124594,29300
10.09,0.13,1.07,-0.05,0.02,-0.01,124658,29291
10.14,0.13,1.05,-0.05,0.02,-0.02,124724,29306
10.08,0.12,1.04,-0.05,0.02,-0.01,124765,29314
10.13,0.18,1.04,-0.05,0.02,-0.02,124476,29276
10.1,0.11,1.03,-0.05,0.02,-0.01,124053,29269
10.1,0.15,1.0,-0.05,0.03,-0.01,123907,29254
10.08,0.15,1.02,-0.05,0.02,-0.01,123928,29251
10.1,0.15,1.06,-0.05,0.03,-0.01,123836,29235
10.13,0.13,1.04,-0.05,0.03,-0.01,123707,29217
10.09,0.14,1.04,-0.06,0.02,-0.02,123645,29214
10.1,0.15,1.09,-0.05,0.02,-0.02,123689,29196
10.09,0.13,1.08,-0.05,0.03,-0.01,123703,29207
10.11,0.16,1.05,-0.05,0.02,-0.01,123832,29261
10.07,0.13,1.1,-0.05,0.02,-0.01,123990,29287
10.09,0.15,1.06,-0.05,0.02,-0.01,124094,29284
10.09,0.13,1.03,-0.05,0.02,-0.01,124167,29296
10.06,0.14,1.01,-0.05,0.02,-0.01,124236,29290
10.07,0.12,1.08,-0.05,0.02,-0.01,124323,29301
10.09,0.14,1.06,-0.05,0.02,-0.01,124424,29308
10.08,0.14,1.06,-0.05,0.02,-0.01,124558,29318
10.09,0.11,1.05,-0.05,0.02,-0.01,124682,29334
10.11,0.15,1.1,-0.05,0.02,-0.01,124833,29382
10.11,0.11,1.04,-0.05,0.02,-0.01,124798,29382
